ИНДЕКС;SET;№ ВЕРХ;№ НИЗ;Поставщик;Категория ВЕРХ;Группа;Наименование НИЗ;Доп. описание;PB/PG-номер НИЗ;KKS-код НИЗ;Ед. изм.;Кол-во НИЗ;Столбец1;Цена ВЕРХ;ИТОГО ВЕРХ;Цена НИЗ;Итого НИЗ;Статус;Дата доставки;Упаковочный;Ящик;поз.;Вес;Длина;Ширина;Высота;
1;1;R1.01;621.1.01;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 1-й ступени турбины ;46 шт.;;MBA__HA054G001;шт.;46;46; € 13 703,41 ; € 630 356,64 ; € 9 916,83 ; € 456 174,18 ; Доставлено ;20.06.2022;2078240;5000030692;1;1290;2660;1750;1000;
2;1;R1.02;621.1.05;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочие лопатки 1-й ступени турбины;основные - 88 шт.;;MBA__HB051G001;шт.;88;88; € 4 578,60 ; € 402 917,11 ; € 3 276,81 ; € 288 359,28 ; Доставлено ;20.06.2022;2079925;5000032850;1;606;1800;1670;980;
3;1;R1.03;621.1.05;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочие лопатки 1-й ступени турбины;замковая - 1 шт.;;MBA__HB051G002;шт.;1;1; € 4 578,60 ; € 4 578,60 ; € 3 276,81 ; € 3 276,81 ; Доставлено ;20.06.2022;2079925;5000032850;2;606;1800;1670;980;
4;0,5;R1.04;621.1.02;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 2-й ступени турбины ;основные - 20 шт.;;MBA__HA055G001;шт.;20;20; € 14 208,82 ; € 284 176,38 ; € 10 283,03 ; € 205 660,60 ; Доставлено ;20.06.2022;2080023;5000032870;1;836;2660;1750;1000;
4;0,5;R1.04;621.1.02;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 2-й ступени турбины ;основные - 18 шт.;;MBA__HA055G001;шт.;18;18; € 14 208,82 ; € 255 758,74 ; € 10 283,03 ; € 185 094,54 ; Доставлено ;20.06.2022;2080023;5000032871;3;576;2660;1150;1300;
5;1;R1.05;621.1.02;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 2-й ступени турбины ;замковые - 10 шт.;;MBA__HA055G002;шт.;10;10; € 14 208,82 ; € 142 088,19 ; € 10 283,03 ; € 102 830,30 ; Доставлено ;20.06.2022;2080023;5000032870;2;836;2660;1750;1000;
6;1;R1.06;621.1.06;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочие лопатки 2-й ступени турбины;основные - 88 шт.;;MBA__HB052G001;шт.;88;0; € 6 308,70 ; € 555 165,46 ; € 4 565,48 ; € 401 762,24 ;;;;;;;;;;
7;1;R1.07;621.1.06;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочие лопатки 2-й ступени турбины;замковая - 1 шт.;;MBA__HB052G002;шт.;1;0; € 6 308,70 ; € 6 308,70 ; € 4 565,48 ; € 4 565,48 ;;;;;;;;;;
8;1;R1.08;621.1.03;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 3-й ступени турбины;верхняя половина: основные - 20 шт.;;MBA__HA056G001;шт.;20;20; € 10 114,91 ; € 202 298,24 ; € 7 320,46 ; € 146 409,20 ; Доставлено ;22.06.2022;2079370;5000032295;2;760;2440;1830;1340;
9;1;R1.09;621.1.03;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 3-й ступени турбины;верхняя половина: замковые - 5 шт.;;MBA__HA056G002;шт.;5;5; € 10 114,91 ; € 50 574,56 ; € 7 320,46 ; € 36 602,30 ; Доставлено ;22.06.2022;2079370;5000032296;3;362;1550;1220;1340;
10;1;R1.10;621.1.03;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 3-й ступени турбины;нижняя половина: основные - 21 шт.;;MBA__HA056G003;шт.;21;21; € 10 114,91 ; € 212 413,15 ; € 7 320,46 ; € 153 729,66 ; Доставлено ;22.06.2022;2079370;5000032294;1;766;2440;1830;1340;
11;1;R1.11;621.1.03;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 3-й ступени турбины;нижняя половина: замковые - 5 шт.;;MBA__HA056G004;шт.;5;5; € 10 114,91 ; € 50 574,56 ; € 7 320,46 ; € 36 602,30 ; Доставлено ;22.06.2022;2079370;5000032296;4;362;1550;1220;1340;
12;1;R1.12;621.1.07;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочие лопатки 3-й ступени турбины;основные - 62 шт.;;MBA__HB053G001;шт.;62;62; € 7 498,38 ; € 464 899,68 ; € 5 426,40 ; € 336 436,80 ; Доставлено ;20.06.2022;2079225;5000032051;1;1410;2440;1830;1340;
13;1;R1.13;621.1.07;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочие лопатки 3-й ступени турбины;замковая - 1 шт.;;MBA__HB053G002;шт.;1;1; € 7 498,38 ; € 7 498,38 ; € 5 426,40 ; € 5 426,40 ; Доставлено ;20.06.2022;2079225;5000032051;2;1410;2440;1830;1340;
14;0,5;R1.14;621.1.04;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 4-й ступени турбины;верхняя половина: основные - 14 шт.;;MBA__HA057G001;шт.;14;14; € 13 866,70 ; € 194 133,73 ; € 10 035,51 ; € 140 497,14 ; Доставлено ;20.06.2022;2079352;5000032125;1;1446;2660;1750;1300;
