ИНДЕКС;№ ВЕРХ;№ НИЗ;Поставщик;Категория;Группа;Наименование НИЗ;Доп. описание;PB/PG-номер НИЗ;KKS-код НИЗ;Ед. изм.;Кол-во НИЗ;Цена ВЕРХ;ИТОГО ВЕРХ;Цена НИЗ;Итого НИЗ;Дата доставки;Упаковочный;Ящик;Вес;Длина;Ширина;Высота
1;;;;Детали для МИ;люк под средним копусом;Вставка резьбовая;03-9424-42135 (поз. 033);PB0000009516;MBA__HA081G033;шт.;4; € -   ; € -   ; € 5,00 ; € 20,00 ;;;;;;;
2;;;;Детали для МИ;люк под средним копусом;Уплотнение круглое;03-9424-42135 (поз. 023);PB0000046494;MBA__HA081G023;шт.;1; € -   ; € -   ; € 290,00 ; € 290,00 ;;;;;;;
3;;;;Детали для МИ;люк под средним копусом;Болт;03-9424-42135 (поз. 024);PB0000000595;MBA__HA081G024;шт.;2; € -   ; € -   ; € 20,00 ; € 40,00 ;;;;;;;
4;;1879.01;УНИКА (Х/1879/2021);Детали для МИ;кожух корпуса подшипника турбины;Винт с шестигранной головкой;Э-000114Е7 (поз. нет);PB0000000502;MBD__HD010G009;шт.;3; € -   ; € -   ; € 25,51 ; € 76,53 ;;;;;;;
5;;1879.02;УНИКА (Х/1879/2021);Детали для МИ;кожух корпуса подшипника турбины;Шайба;Э-000114Е7 (поз. нет);PB0000000224;MBD__HD010G010;шт.;13; € -   ; € -   ; € 1,13 ; € 14,69 ;;;;;;;
6;;;;Детали для МИ;кожух корпуса подшипника турбины;Шайба;Э-000114Е7 (поз. Э-000060);–;–;шт.;13; € -   ; € -   ; € -   ; € -   ;;;;;;;
7;;1879.03;УНИКА (Х/1879/2021);Детали для МИ;люк корпуса КС;Штифт установочный;03-9425-10553 (поз. 201);PB0000222904;MBM__HA008G201;шт.;3; € -   ; € -   ; € 36,64 ; € 109,92 ;;;;;;;
8;;;;Детали для МИ;люк корпуса КС;Гайка шестигранная;03-9425-10553 (поз. 202);PB0000012551;MBM__HA008G202;шт.;3; € -   ; € -   ; € 13,00 ; € 39,00 ;;;;;;;
9;;;;Детали для МИ;люк корпуса КС;Уплотнение;03-9425-10553 (поз. 203);PB0000222905;MBM__HA008G203;шт.;2; € -   ; € -   ; € 73,00 ; € 146,00 ;;;;;;;
10;;;;Детали для МИ;люк корпуса КС;Болт с шестигранной головкой;03-9425-10553 (поз. 039);PB0000002601;MBM__HA008G039;шт.;8; € -   ; € -   ; € 25,00 ; € 200,00 ;;;;;;;
11;;;;Детали для МИ;люк корпуса КС;Гайка шестигранная;03-9425-10553 (поз. 040);PB0000000618;MBM__HA008G040;шт.;16; € -   ; € -   ; € 11,00 ; € 176,00 ;;;;;;;
12;;;;Детали для МИ;люк корпуса КС;Шайба;03-9425-10553 (поз. 041);PB0000006888;MBM__HA008G041;шт.;20; € -   ; € -   ; € 7,00 ; € 140,00 ;;;;;;;
13;;1845.01;Conrad (Х/1845/2021);Детали для МИ;плитка КС;Плитка, ряды B-C-D-E-G-H-J-K-L;03-9427-10530 (поз. 007);PB0000248080;MBM__HA004G007;шт.;70; € -   ; € -   ; € 37,80 ; € 2 646,00 ;;;;;;;
14;;1845.02;Conrad (Х/1845/2021);Детали для МИ;плитка КС;Плитка, ряды A1, A2;03-9427-10530 (поз. 008);PB0000248081;–;шт.;24; € -   ; € -   ; € 37,70 ; € 904,80 ;;;;;;;
15;;1879.04;УНИКА (Х/1879/2021);Детали для МИ;пламенная труба;Держатель керамической плитки замкового ряда F;03-9427-10530 (поз. 034);PB0000221105;MBM__HA004G034;шт.;10; € -   ; € -   ; € 35,77 ; € 357,70 ;;;;;;;
16;;1879.05;УНИКА (Х/1879/2021);Детали для МИ;пламенная труба;Держатель керамической плитки замкового ряда F;03-9427-10530 (поз. 035);PB0000221109;MBM__HA004G035;шт.;10; € -   ; € -   ; € 40,19 ; € 401,90 ;;;;;;;
17;;1879.06;УНИКА (Х/1879/2021);Детали для МИ;пламенная труба;Держатель керамической плитки замкового ряда F;03-9427-10530 (поз. 036);PB0000220324;MBM__HA004G036;шт.;10; € -   ; € -   ; € 94,68 ; € 946,80 ;;;;;;;
18;;1879.07;УНИКА (Х/1879/2021);Детали для МИ;пламенная труба;Держатель керамической плитки замкового ряда A1, A2;03-9426-10530 (поз. 034);PB0000020727;–;шт.;0; € -   ; € -   ; € 25,44 ; € -   ;;;;;;;
19;;1879.08;УНИКА (Х/1879/2021);Детали для МИ;пламенная труба;Держатель керамической плитки замкового ряда A1, A2;03-9426-10530 (поз. 035);PB0000017535;–;шт.;0; € -   ; € -   ; € 25,44 ; € -   ;;;;;;;
20;;1879.09;УНИКА (Х/1879/2021);Детали для МИ;пламенная труба;Держатель керамической плитки замкового ряда A1, A2;03-9426-10530 (поз. 036);PB0000024329;–;шт.;0; € -   ; € -   ; € 94,68 ; € -   ;;;;;;;
21;;1879.10;УНИКА (Х/1879/2021);Детали для МИ;пламенная труба;Винт с цилиндрической головкой;03-9427-10530 (поз. 045);PB0000001640;MBM__HA004G045;шт.;40; € -   ; € -   ; € 28,37 ; € 1 134,80 ;;;;;;;
22;;;;Детали для МИ;пламенная труба;Шайба стопорная парная A17,0;03-9427-10530 (поз. 046);PB0000001325;MBM__HA004G046;шт.;150; € -   ; € -   ; € -   ; € -   ;;;;;;;
