1;2;3;4;5;6;7;8;;;
PB0000205162;Шайба стопорная парная;;арт. NL8ss;;;Nord-lock;88132.940.0080.000;;;
PB0000205656;Шайба стопорная парная;;арт. NL5ss;;;Nord-lock;88132.940.0050.000;;;
PB0000205658;Шайба стопорная парная;;арт. NL27ss;;;Nord-lock;88132.940.0270.000;;;
PB0000205716;Шайба стопорная парная;;арт. NL24ss;;;Nord-lock;88132.940.0240.000;;;
PB0000205657;Шайба стопорная парная;;арт. NL20ss;;;Nord-lock;88132.940.0200.000;;;
PB0000001325;Шайба стопорная парная;;арт. NL16ss;;;Nord-lock;88132.940.0160.000;;;
PB0000001446;Шайба стопорная парная;;арт. NL12ss;;;Nord-lock;88132.940.0120.000;;;
PB0000204959;Шайба стопорная парная;;арт. NL10ss;;;Nord-lock;88132.940.0100.000;;;
PB0000001137;Винт;40CrMoV4-7;TUN12110.102 M90x580;;TLV919101 FV200047;;99900.000.0119.082;;;
PB0000000957;Гайка;21CrMoV5-7;TUN12110.101 AM42x136;;FV200047 TLV818641;;99900.000.0143.075;;;
PB0000000956;Болт;21CrMoV5-7;TUN12110.101 AM30x82;;FV200047;;99900.000.0121.651;;;
PB0000016604;Гайка;21CrMoV5-7;TUN12100.109/00 M42;;;;41210.330.0420.000;;;
PB0000006829;Гайка колпачковая;24CrMo5;TUN1111.103 M60x2x32;;;;99900.000.0119.793;;;
PB0000233495;Гайка;21CrMoV5-7;TUN0303.21 M52;;;;40303.305.0520.000;;;
PB0000000007;Гайка;24CrMo5;TUN0303.21 M42;;TLV815209;;99900.000.0120.373;;;
PB0000000439;Гайка;24CrMo5;TUN0303.21 M30;;;;99900.000.0118.471;;;
PB0000000618;Гайка;24CrMo5;TUN0303.21 M24;;DGTLV-815221001;;99900.000.0118.567;;;
PB0000000619;Гайка;24CrMo5;TUN0303.21 M20;;;;99900.000.0118.573;;;
PB0000000035;Гайка;21CrMoV5-7;TUN0303.20 M56;;TLV824841;;40303.305.0560.000;;;
PB0000000176;Шпилька;21CrMoV5-7;TUN0303.13 M56x380x65;;TLV818641 FV200047;;44030.300.0560.380;;;
PB0000233494;Шпилька;40CrMoV4-6;TUN0303.13 M52x440x60;;EN10269 FV200047;;40303.306.0520.440;;;
PB0000233497;Шпилька;40CrMoV4-6;TUN0303.13 M52x410x60;;EN10269 FV200047;;40303.306.0520.410;;;
PB0000000547;Шпилька;21CrMoV5-7;TUN0303.13 M24x270x65;;FV200047 TLV818641;;99900.000.0119.730;;;
PB0000038393;Ввод кабельный;MS &Ni;MINI-PG8x1;;;LAPP;40310.734.0080.100;;;
PB0000000041;Гайка;8;M20 ISO4032;;;;04032.800.0200.000;;;
PB0000016406;Болт;21CrMoV5-7;"M16x25;T2-DIN267T29";;;;04017.362.0160.025;;;
PB0000263201;Штифт;8.8;M12x90;43-9420-41000/064;;;44762.804.0120.090;;;
PB0000263202;Штифт;8.8;M12x120;43-9420-41000/066;;;99900.000.0048.292;;;
PB0000002028;Шпилька;21CrMoV5-7;L=65;43-8210-10520/038;TLV918601;;99900.000.0118.255;;;
PB0000000346;Шайба;ST1203;KUN900.00 37;;;;00093.000.0370.000;;;
