№;Категория;Наименование;Описание;PB;KKS;Ед. изм.;Кол-во НИЗ;Цена
1;Программные детали;Направляющая лопатка 1-й ступени турбины;Восстановленные, 3 версия, с ТЭЦ-21;–;–;шт.;46;
2;Программные детали;Рабочая лопатка 1-й ступени турбины, основная;Восстановленные, 3 версия, с ТЭЦ-21;–;–;шт.;88;
3;Программные детали;Рабочая лопатка 1-й ступени турбины, замковая;Восстановленные, 3 версия, с ТЭЦ-21;–;–;шт.;1;
4;Программные детали;Направляющая лопатка 2-й ступени турбины, основная;Восстановленные, 3 версия, с ТЭЦ-21;–;–;шт.;38;
5;Программные детали;Направляющая лопатка 2-й ступени турбины, замковая;Восстановленные, 3 версия, с ТЭЦ-21;–;–;шт.;10;
6;Программные детали;Рабочая лопатка 2-й ступени турбины, основная;Восстановленные, 3 версия, с ТЭЦ-21;–;–;шт.;88;
7;Программные детали;Рабочая лопатка 2-й ступени турбины, замковая;Восстановленные, 3 версия, с ТЭЦ-21;–;–;шт.;1;
8;Программные детали;Направляющая лопатка 3-й ступени турбины,верхняя половина,  основная;Восстановленные, 3 версия, с ГТ-41;–;–;шт.;20;
9;Программные детали;Направляющая лопатка 3-й ступени турбины,верхняя половина,  замковая;Восстановленные, 3 версия, с ГТ-41;–;–;шт.;5;
10;Программные детали;Направляющая лопатка 3-й ступени турбины,нижняя половина,  основная;Восстановленные, 3 версия, с ГТ-41;–;–;шт.;21;
11;Программные детали;Направляющая лопатка 3-й ступени турбины,нижняя половина,  замковая;Восстановленные, 3 версия, с ГТ-41;–;–;шт.;5;
12;Программные детали;Рабочая лопатка 3-й ступени турбины, основная;Восстановленные, 3 версия, с ГТ-41;–;–;шт.;62;
13;Программные детали;Рабочая лопатка 3-й ступени турбины, замковая;Восстановленные, 3 версия, с ГТ-41;–;–;шт.;1;
14;Программные детали;Направляющая лопатка 4-й ступени турбины,верхняя половина,  основная;Восстановленные, 3 версия, РОТЕК;–;–;шт.;23;
15;Программные детали;Направляющая лопатка 4-й ступени турбины,верхняя половина,  замковая;Восстановленные, 3 версия, РОТЕК;–;–;шт.;5;
16;Программные детали;Направляющая лопатка 4-й ступени турбины,нижняя половина,  основная;Восстановленные, 3 версия, РОТЕК;–;–;шт.;22;
17;Программные детали;Направляющая лопатка 4-й ступени турбины,нижняя половина,  замковая;Восстановленные, 3 версия, РОТЕК;–;–;шт.;5;
18;Программные детали;Рабочая лопатка 4-й ступени турбины;Восстановленные, 3 версия, с ГТ-41 ТЭЦ-27 (41 шт.);–;–;шт.;44;
19;Программные детали;Опорно-упорный подшипник компрессора;"В поставку включены:
- все необходимые детали
- все датчики КИП
- МЗК
- клеммная коробка, кабели КИП";–;–;компл.;1;300000
20;Программные детали;MAIN THRUST BEARING;KG 40 EACH (состоит из двух половин);;;шт.;1;0
21;Программные детали;REVERSE THRUST BEARING COMPRESSOR;KG 26 EACH (состоит из двух половин);;;шт.;1;0
22;Программные детали;Вставка горелки;Т00275;PB0000240649;MBM__HA005G005;шт.;16;1300
23;Программные детали;Плитка, ряды B, C, D, E, G, H, J, K, L;;PB0000248080;MBM47HA004G007;шт.;0;0
24;Программные детали;Плитка, ряды A1, A2;;PB0000248081;MBM47HA004G008;шт.;0;0
25;Программные детали;Плитка, ряд F;;PB0000248078;MBM47HA004G050;шт.;0;0
26;Программные детали;Центральный лист днища, сторона пламени;Т00110;PB0000025836;MBM__HA005G003;шт.;2;4850
27;Программные детали;Сегмент днища, сторона пламени;Т00109;PB0000025837;MBM__HA005G004;шт.;16;1950
28;Программные детали;Лопатка направляющая 7-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000008787;MBA__HA016G009;шт.;8;426,01
29;Программные детали;Лопатка направляющая 8-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000008788;MBA__HA017G009;шт.;8;389,49
