ИНДЕКС;УН;№ ВЕРХ;№ НИЗ;Поставщик;Категория ВЕРХ;Группа;Наименование ВЕРХ;Наименование НИЗ;Доп. описание;Аналог / гост / чертеж / альт. договор;PB/PG-номер НИЗ;KKS-код НИЗ;Ед. изм.;Кол-во НИЗ;СКЛАД;ДЕФИЦИТ;АКЗЧ;ДЕФ с уч. АКЗЧ;Цена ВЕРХ;ИТОГО ВЕРХ;Цена НИЗ;Итого НИЗ;НАЛИЧИЕ НА СКЛАДЕ;Статус;ПРИОРИТЕТ ЗАКУПКИ;Дата доставки;Упаковочный;Столбец2;Ящик;Вес;Длина;Ширина;Высота
1;1;R1.01;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющая лопатка 1-й ступени турбины;Направляющая лопатка 1-й ступени турбины;Восстановленные, 3 версия, с ТЭЦ-21;;–;–;шт.;46;;;;;; € -   ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;0;;;;;;;;
2;1;R1.02;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочая лопатка 1-й ступени турбины, основная;Рабочая лопатка 1-й ступени турбины, основная;Восстановленные, 3 версия, с ТЭЦ-21;;–;–;шт.;88;;;;;; € -   ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;0;;;;;;;;
3;1;R1.03;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочая лопатка 1-й ступени турбины, замковая;Рабочая лопатка 1-й ступени турбины, замковая;Восстановленные, 3 версия, с ТЭЦ-21;;–;–;шт.;1;;;;;; € -   ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;0;;;;;;;;
4;1;R1.04;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющая лопатка 2-й ступени турбины, основная;Направляющая лопатка 2-й ступени турбины, основная;Восстановленные, 3 версия, с ТЭЦ-21;;–;–;шт.;38;;;;;; € -   ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;0;;;;;;;;
5;1;R1.05;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющая лопатка 2-й ступени турбины, замковая;Направляющая лопатка 2-й ступени турбины, замковая;Восстановленные, 3 версия, с ТЭЦ-21;;–;–;шт.;10;;;;;; € -   ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;0;;;;;;;;
6;1;R1.06;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочая лопатка 2-й ступени турбины, основная;Рабочая лопатка 2-й ступени турбины, основная;Восстановленные, 3 версия, с ТЭЦ-21;;–;–;шт.;88;;;;;; € -   ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;0;;;;;;;;
7;1;R1.07;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочая лопатка 2-й ступени турбины, замковая;Рабочая лопатка 2-й ступени турбины, замковая;Восстановленные, 3 версия, с ТЭЦ-21;;–;–;шт.;1;;;;;; € -   ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;0;;;;;;;;
8;1;R1.08;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющая лопатка 3-й ступени турбины,верхняя половина,  основная;Направляющая лопатка 3-й ступени турбины,верхняя половина,  основная;Восстановленные, 3 версия, с ГТ-41;;–;–;шт.;20;;;;;; € -   ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;0;;;;;;;;
9;1;R1.09;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющая лопатка 3-й ступени турбины,верхняя половина,  замковая;Направляющая лопатка 3-й ступени турбины,верхняя половина,  замковая;Восстановленные, 3 версия, с ГТ-41;;–;–;шт.;5;;;;;; € -   ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;0;;;;;;;;
10;1;R1.10;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющая лопатка 3-й ступени турбины,нижняя половина,  основная;Направляющая лопатка 3-й ступени турбины,нижняя половина,  основная;Восстановленные, 3 версия, с ГТ-41;;–;–;шт.;21;;;;;; € -   ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;0;;;;;;;;
11;1;R1.11;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющая лопатка 3-й ступени турбины,нижняя половина,  замковая;Направляющая лопатка 3-й ступени турбины,нижняя половина,  замковая;Восстановленные, 3 версия, с ГТ-41;;–;–;шт.;5;;;;;; € -   ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;0;;;;;;;;
12;1;R1.12;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочая лопатка 3-й ступени турбины, основная;Рабочая лопатка 3-й ступени турбины, основная;Восстановленные, 3 версия, с ГТ-41;;–;–;шт.;62;;;;;; € -   ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;0;;;;;;;;
13;1;R1.13;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочая лопатка 3-й ступени турбины, замковая;Рабочая лопатка 3-й ступени турбины, замковая;Восстановленные, 3 версия, с ГТ-41;;–;–;шт.;1;;;;;; € -   ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;0;;;;;;;;
14;1;R1.14;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющая лопатка 4-й ступени турбины,верхняя половина,  основная;Направляющая лопатка 4-й ступени турбины,верхняя половина,  основная;Восстановленные, 3 версия, РОТЕК;;–;–;шт.;23;;23;;23; € 2 047,31 ; € 47 088,22 ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;100;;;;;;;;
15;1;R1.15;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющая лопатка 4-й ступени турбины,верхняя половина,  замковая;Направляющая лопатка 4-й ступени турбины,верхняя половина,  замковая;Восстановленные, 3 версия, РОТЕК;;–;–;шт.;5;;5;;5; € 2 047,31 ; € 10 236,57 ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;100;;;;;;;;
16;1;R1.16;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющая лопатка 4-й ступени турбины,нижняя половина,  основная;Направляющая лопатка 4-й ступени турбины,нижняя половина,  основная;Восстановленные, 3 версия, РОТЕК;;–;–;шт.;22;;22;;22; € 2 047,31 ; € 45 040,91 ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;100;;;;;;;;
17;1;R1.17;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющая лопатка 4-й ступени турбины,нижняя половина,  замковая;Направляющая лопатка 4-й ступени турбины,нижняя половина,  замковая;Восстановленные, 3 версия, РОТЕК;;–;–;шт.;5;;5;;5; € 2 047,31 ; € 10 236,57 ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;100;;;;;;;;
18;1;R1.18;–;Заказчик;Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочая лопатка 4-й ступени турбины;Рабочая лопатка 4-й ступени турбины;Восстановленные, 3 версия, с ГТ-41 ТЭЦ-27 (41 шт.);;–;–;шт.;44;;;;; € -   ; € -   ;; € -   ; В наличии у Заказчика ; В наличии у Заказчика ;0;;;;;;;;
19;0,333333333;R0.1.04;1769.1;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник;Модернизированный ОУП компрессора в сборе (рассчитанный на осевое усилие не менее 400 кН), детали для его монтажа;Опорно-упорный подшипник компрессора;"В поставку включены:
- все необходимые детали
- все датчики КИП
- МЗК
- клеммная коробка, кабели КИП";;–;–;компл.;1;;1;;1; € 371 751,00 ; € 371 751,00 ; € 300 000,00 ; € 300 000,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
19;0,333333333;R0.1.04;1769.1.01;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник;Модернизированный ОУП компрессора в сборе (рассчитанный на осевое усилие не менее 400 кН), детали для его монтажа;MAIN THRUST BEARING;KG 40 EACH (состоит из двух половин);;;;шт.;1;1;0;;; € -   ;; € -   ; € -   ; В наличии ; В наличии ;0;18.07.2022;;;;;;;
19;0,333333333;R0.1.04;1769.1.02;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник;Модернизированный ОУП компрессора в сборе (рассчитанный на осевое усилие не менее 400 кН), детали для его монтажа;REVERSE THRUST BEARING COMPRESSOR;KG 26 EACH (состоит из двух половин);;;;шт.;1;1;0;;; € -   ;; € -   ; € -   ; В наличии ; В наличии ;0;18.07.2022;;;;;;;
20;1;R0.1.05;1864.1.3;Samic (Х/1864/2021);Программные детали;Вставка горелки в сборе;"Вставка горелки в сборе, включающая п. 5.1 - 5.3: 
- вставка горелки (без керамического покрытия) PB0000032309 - 16 шт.
- штифт PB0000241486 MBM__HA005G602 - 48 шт.
- штифт PB0000000998 MBM__HA005G603 - 48 шт.";Вставка горелки;Т00275;;PB0000240649;MBM__HA005G005;шт.;16;;16;;16; € 7 379,64 ; € 118 074,24 ; € 1 300,00 ; € 20 800,00 ; Отсутствует ; Ожидается ;100;07.10.2022;;;;;;;
21;1;R0.1.07;–;Заказчик;Программные детали;Плитка камеры сгорания;Плитка, ряды B, C, D, E, G, H, J, K, L;Плитка, ряды B, C, D, E, G, H, J, K, L;;;PB0000248080;MBM47HA004G007;шт.;0;;;634;; € -   ; € -   ; € -   ; € -   ; Отсутствует ; В наличии у Заказчика ;0;;;;;;;;
22;1;R0.1.08;–;Заказчик;Программные детали;Плитка камеры сгорания;Плитка, ряды A1, A2;Плитка, ряды A1, A2;;;PB0000248081;MBM47HA004G008;шт.;0;;;159;; € -   ; € -   ; € -   ; € -   ; Отсутствует ; В наличии у Заказчика ;0;;;;;;;;
23;1;R0.1.09;–;Заказчик;Программные детали;Плитка камеры сгорания;Плитка, ряд F;Плитка, ряд F;;;PB0000248078;MBM47HA004G050;шт.;0;;;77;; € -   ; € -   ; € -   ; € -   ; Отсутствует ; В наличии у Заказчика ;0;;;;;;;;
24;1;R0.1.10;1864.1.1;Samic (Х/1864/2021);Программные детали;Сегменты днища пламенных труб;Центральная плита днища, сторона пламени;Центральный лист днища, сторона пламени;Т00110;;PB0000025836;MBM__HA005G003;шт.;2;;2;;2; € 9 164,92 ; € 18 329,85 ; € 4 850,00 ; € 9 700,00 ; Отсутствует ; Ожидается ;100;07.10.2022;;;;;;;
25;1;R0.1.11;1864.1.2;Samic (Х/1864/2021);Программные детали;Сегменты днища пламенных труб;Сегмент днища, сторона пламени;Сегмент днища, сторона пламени;Т00109;;PB0000025837;MBM__HA005G004;шт.;16;;16;8;8; € 9 164,92 ; € 146 638,77 ; € 1 950,00 ; € 31 200,00 ; Отсутствует ; Ожидается ;100;07.10.2022;;;;;;;
26;1;R0.1.15;1930.1.16;УНИКА (X/1930/2022);Программные детали;Направляющие лопатки компрессора ступеней 7-16;Направляющие лопатки компрессора ступеней 7-16;Лопатка направляющая 7-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";;PB0000008787;MBA__HA016G009;шт.;8;;8;;8; € 724,40 ; € 5 795,23 ; € 426,01 ; € 3 408,08 ; Отсутствует ; Не будет поставлено ;100;;;;;;;;
27;1;R0.1.15;1930.1.17;УНИКА (X/1930/2022);Программные детали;Направляющие лопатки компрессора ступеней 7-16;Направляющие лопатки компрессора ступеней 7-16;Лопатка направляющая 8-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";;PB0000008788;MBA__HA017G009;шт.;8;;8;;8; € 671,99 ; € 5 375,91 ; € 389,49 ; € 3 115,92 ; Отсутствует ; Не будет поставлено ;100;;;;;;;;
28;1;R0.1.15;1930.1.18;УНИКА (X/1930/2022);Программные детали;Направляющие лопатки компрессора ступеней 7-16;Направляющие лопатки компрессора ступеней 7-16;Лопатка направляющая 9-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";;PB0000008789;MBA__HA018G009;шт.;8;;8;;8; € 751,28 ; € 6 010,26 ; € 340,81 ; € 2 726,48 ; Отсутствует ; Не будет поставлено ;100;;;;;;;;
29;1;R0.1.15;1930.1.19;УНИКА (X/1930/2022);Программные детали;Направляющие лопатки компрессора ступеней 7-16;Направляющие лопатки компрессора ступеней 7-16;Лопатка направляющая 10-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";;PB0000008790;MBA__HA019G009;шт.;8;;8;;8; € 639,73 ; € 5 117,86 ; € 328,63 ; € 2 629,04 ; Отсутствует ; Не будет поставлено ;100;;;;;;;;
30;1;R0.1.15;1930.1.20;УНИКА (X/1930/2022);Программные детали;Направляющие лопатки компрессора ступеней 7-16;Направляющие лопатки компрессора ступеней 7-16;Лопатка направляющая 11-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";;PB0000008791;MBA__HA020G009;шт.;8;;8;;8; € 614,20 ; € 4 913,58 ; € 316,46 ; € 2 531,68 ; Отсутствует ; Не будет поставлено ;100;;;;;;;;
31;1;R0.1.15;1930.1.21;УНИКА (X/1930/2022);Программные детали;Направляющие лопатки компрессора ступеней 7-16;Направляющие лопатки компрессора ступеней 7-16;Лопатка направляющая 12-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";;PB0000008792;MBA__HA021G009;шт.;8;;8;;8; € 743,22 ; € 5 945,75 ; € 292,11 ; € 2 336,88 ; Отсутствует ; Не будет поставлено ;100;;;;;;;;
32;1;R0.1.15;1930.1.22;УНИКА (X/1930/2022);Программные детали;Направляющие лопатки компрессора ступеней 7-16;Направляющие лопатки компрессора ступеней 7-16;Лопатка направляющая 13-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";;PB0000018875;MBA__HA022G009;шт.;8;;8;;8; € 698,87 ; € 5 590,94 ; € 231,25 ; € 1 850,00 ; Отсутствует ; Не будет поставлено ;100;;;;;;;;
33;1;R0.1.15;1930.1.23;УНИКА (X/1930/2022);Программные детали;Направляющие лопатки компрессора ступеней 7-16;Направляющие лопатки компрессора ступеней 7-16;Лопатка направляющая 13-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";;PB0000018876;MBA__HA023G009;шт.;8;;8;;8; € 694,84 ; € 5 558,69 ; € 231,25 ; € 1 850,00 ; Отсутствует ; Не будет поставлено ;100;;;;;;;;
34;1;R0.1.15;1930.1.24;УНИКА (X/1930/2022);Программные детали;Направляющие лопатки компрессора ступеней 7-16;Направляющие лопатки компрессора ступеней 7-16;Лопатка направляющая 15-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";;PB0000018877;MBA__HA024G009;шт.;8;;8;;8; € 697,52 ; € 5 580,19 ; € 219,08 ; € 1 752,64 ; Отсутствует ; Не будет поставлено ;100;;;;;;;;
35;1;R0.1.15;1930.1.25;УНИКА (X/1930/2022);Программные детали;Направляющие лопатки компрессора ступеней 7-16;Направляющие лопатки компрессора ступеней 7-16;Лопатка направляющая 16-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";;PB0000018878;MBA__HA025G009;шт.;8;;8;;8; € 505,34 ; € 4 042,68 ; € 219,08 ; € 1 752,64 ; Отсутствует ; Не будет поставлено ;100;;;;;;;;
36;1;R0.1.16;1930.1.06;УНИКА (X/1930/2022);Программные детали;Рабочие лопатки компрессора ступеней 7-16;Рабочие лопатки компрессора ступеней 7-16;Лопатка рабочая 7-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";;PB0000002822;MBA__HB017G103;шт.;4;;4;;4; € 853,43 ; € 3 413,70 ; € 854,65 ; € 3 418,60 ; Отсутствует ; Не будет поставлено ;100;;;;;;;;
37;1;R0.1.16;1930.1.07;УНИКА (X/1930/2022);Программные детали;Рабочие лопатки компрессора ступеней 7-16;Рабочие лопатки компрессора ступеней 7-16;Лопатка рабочая 8-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";;PB0000002808;MBA__HB018G103;шт.;4;;4;;4; € 622,26 ; € 2 489,04 ; € 684,08 ; € 2 736,32 ; Отсутствует ; Не будет поставлено ;100;;;;;;;;
